"_SITE_TITLE";"Social Network"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"Maintenance Mode will prevent site visitors from accessing your website.  You can customize the maintenance mode page by manually editing the file ""/application/maintenance.html""."
"Online";"Online"
"Offline (Maintenance Mode)";"Offline (Maintenance Mode)"
"Site Title";"Site Title"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITETITLE_DESCRIPTION";"Give your community a unique name. This will appear in the <title> tag throughout most of your site."
"Site Description";"Site Description"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEDESCRIPTION_DESCRIPTION";"Enter a brief, concise description of your community. Include any key words or phrases that you want to appear in search engine listings."
"Site Keywords";"Site Keywords"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEKEYWORDS_DESCRIPTION";"Provide some keywords (separated by commas) that describe your community. These will be the default keywords that appear in the <meta> tag in your page header. Enter the most relevant keywords you can think of to help your community's search engine rankings."
"Member Profiles";"Profili Utenti"
"Yes, give the public access.";"Yes, give the public access."
"No, visitors must sign in to view member profiles.";"I visitatori non possono visualizzare i profili degli iscritti."
"Search Page";"Cerca Pagina"
"No, visitors must sign in to view the search page.";"I visitatori non possono accedere alla pagina di ricerca.."
"Portal Page";"Portal Page"
"No, visitors must sign in to view the main portal page.";"Devi effettuare il login per visualizzare la pagina principale del network."
"Browse Members Page";"Cerca Pagine"
"No, visitors must sign in to view the members browse page.";"I visitatori non possono accedere alla ricerca degli iscritti."
"Storage Quota";"Storage Quota"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_QUOTA_DESCRIPTION";"How much content (photos, songs, videos, etc.) do you want each member to be able to upload? This limit only applies to uploaded content, not things that are linked or embedded from other websites."
"1 MB";"1 MB"
"5 MB";"5 MB"
"25 MB";"25 MB"
"100 MB";"100 MB"
"500 MB";"500 MB"
"1 GB";"1 GB"
"2 GB";"2 GB"
"5 GB";"5 GB"
"10 GB";"10 GB"
"Unlimited";"Unlimited"
"Allow HTML in Comments?";"Allow HTML in Comments?"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_COMMENTHTML_DESCRIPTION";"By default, members may not enter any HTML tags into comments. If you want to allow specific tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"Default Timezone";"Default Timezone"
"CORE_FORM_ADMIN_SETTINGS_LOCALE_DESCRIPTION";"Please select a default timezone setting for your social network. This will be the default timezone applied to users' accounts if they do not select a timezone during signup, or if they are not signed in. Select the date format you want to use on your social network. This will affect the appearance of the dates that appear on your social network pages."
"Invite Only?";"Invite Only?"
"Yes, make members complete the CAPTCHA form.";"Yes, make members complete the CAPTCHA form."
"No, do not show a CAPTCHA form.";"No, do not show a CAPTCHA form."
"CORE_FORM_ADMIN_SETTINGS_SPAM_DESCRIPTION";"Social networks are often the target of aggressive spam tactics. This most often comes in the form of fake user accounts and spam in comments. On this page, you can manage various anti-spam and censorship features. Note: To turn on the signup image verification feature (a popular anti-spam tool), see the Signup Progress page."
"No, do not show a CAPTCHA form to anyone.";"No, do not show a CAPTCHA form to anyone."
"Yes, make everyone complete the CAPTCHA form.";"Yes, make everyone complete the CAPTCHA form."
"Yes, make visitors complete CAPTCHA, but members are exempt.";"Yes, make visitors complete CAPTCHA, but members are exempt."
"Censored Words";"Censored Words"
"CORE_FORM_ADMIN_SETTINGS_SPAM_CENSOR_DESCRIPTION";"Enter any words that you you want to censor on your users' profiles as well as any plugins you have installed. These will be replaced with asterisks (*), and will only affect new content. Separate words by commas like word1, word2"
"CORE_ADMIN_FORM_SETTINGS_SPAM_COMMENTHTML_DESCRIPTION";"By default, the user may not enter any HTML tags into comments. If you want to allow specific tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"Require new users to enter validation code when signing up?";"Require new users to enter validation code when signing up?"
"Require users to enter validation code when commenting?";"Require users to enter validation code when commenting?"
"Require users to enter validation code when inviting others?";"Require users to enter validation code when inviting others?"
"Require users to enter validation code when using the contact form?";"Require users to enter validation code when using the contact form?"
"Require users to enter validation code when signing in?";"Require users to enter validation code when signing in?"
"IP Address Ban";"IP Address Ban"
"CORE_FORM_ADMIN_SETTINGS_SPAM_IPBANS_DESCRIPTION";"To ban users by their IP address, enter their address into the field below. Addresses should be separated by commas, like 123.45.67.8, 23.45.67.*, 192.168.1.1-192.168.1.55"
"Email Templates";"Email Templates"
"CORE_FORM_ADMIN_SETTINGS_EMAIL_DESCRIPTION";"Various notification emails are sent to your members as they interact with the community. Use this form to customize the content of these emails. Any changes you make here will only be saved after you click the ""Save Changes"" button at the bottom of the form."
"From Name";"From Name"
"Enter the name you want the emails from the system to come from in the field below.";"Enter the name you want the emails from the system to come from in the field below."
"From Address";"From Address"
"Enter the email address you want the emails from the system to come from in the field below.";"Enter the email address you want the emails from the system to come from in the field below."
"Language Pack";"Language Pack"
"Your community has more than one language pack installed. Please select the language pack you want to edit right now.";"Your community has more than one language pack installed. Please select the language pack you want to edit right now."
"Choose Message";"Choose Message"
"Subject";"Oggetto"
"Message Body";"Message Body"
"English";"English"
"Invite Code";"Invite Code"
"Invitation";"Invitation"
"Email Address Verification";"Email Address Verification"
"Email Address Verification With Password";"Email Address Verification With Password"
"Welcome";"Welcome"
"Welcome With Password";"Welcome With Password"
"Also Commented";"Also Commented"
"Friend Approved";"Friend Approved"
"Friend Request";"Richiesta d'amicizia"
"Friend Follow";"Friend Follow"
"Comment on Liked";"Comment on Liked"
"Follow Approved";"Follow Approved"
"Follow Request";"Follow Request"
"Theme Manager";"Theme Manager"
"Clone a theme pack";"Clone a theme pack"
"Title of new theme";"Title of new theme"
"Theme Description";"Theme Description"
"Theme to clone";"Theme to clone"
"Clone";"Clone"
"Upload a theme pack";"Upload a theme pack"
"Theme title";"Theme title"
"What would you like to title this theme? (Leave blank to use the default theme title)";"What would you like to title this theme? (Leave blank to use the default theme title)"
"Please describe the theme you are uploading.";"Please describe the theme you are uploading."
"Theme file";"Theme file"
"Select the theme file you wish to upload. Note: this must be a file packaged into a TAR file.";"Select the theme file you wish to upload. Note: this must be a file packaged into a TAR file."
"Upload";"Upload"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_DESCRIPTION";"Customize your community's overall look and feel by editing your current theme or choosing a new one. Your theme consists of several CSS files. If you want to make custom changes to these files, select the one you want to edit from the pull-down below. If you would rather just pick an entirely different theme, use the theme chooser at the bottom."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_REVERTTHEMEFILE";"Are you sure that you want to revert all the changes you have made to this theme? If yes, the original theme will be restored immediately and your changes lost. If you want to backup your changes, export it to your computer first."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_TIP";"The stylesheets for your current theme are not writeable. Please set full permissions recursively (CHMOD -R 0777) on ""%s"" and try again."
"Upload New Files";"Upload New Files"
"Create Menu Item";"Create Menu Item"
"Label";"Label"
"URL";"URL"
"Open in a new window?";"Apri in una nuova pagina?"
"Delete Menu Item";"Delete Menu Item"
"Edit Menu Item";"Edit Menu Item"
"CORE_VIEWS_SCRIPTS_ADMINMENU_INDEX_DESCRIPTION";"Use this area to manage the various navigation menus that appear on your social network. When you select the menu you wish to edit, a list of the menu items it contains will be shown. You can drag these items up and down to change their order."
"All";"Tutto"
"Cumulative";"Cumulative"
"Change in";"Change in"
"Page views";"Page views"
"This week";"This week"
"This month";"This month"
"This year";"This year"
"By Day";"Per Giorno"
"By Week";"Per Settimana"
"By Month";"Per Mese"
"By Year";"Per Anno"
"";""
" ";" "
"here";"here"
"install plugin";"install plugin"
"New plugins available for installation:";"New plugins available for installation:"
"disable";"disable"
"Putting your site in development mode will disable caching, and will display error messages to the end-user.";"Putting your site in development mode will disable caching, and will display error messages to the end-user."
"Production Mode";"Production Mode"
"Development Mode";"Development Mode"
"Environment Mode";"Environment Mode"
"Loading ...";"Loading ..."
"CAPTCHA_DESCRIPTION";"Please type the characters you see in the image."
"_CAPTCHA_DESCRIPTION";"Please type the characters you see in the image."
"Email queue";"Email queue"
"Utilizing an email queue, you can allow your website to throttle the emails being sent out to prevent overloading the mail server.";"Utilizing an email queue, you can allow your website to throttle the emails being sent out to prevent overloading the mail server."
"Yes, enable email queue";"Yes, enable email queue"
"No, always send emails immediately";"No, always send emails immediately"
"Use the built-in mail() function";"Use the built-in mail() function"
"Send emails through an SMTP server";"Send emails through an SMTP server"
"Thank you for contacting us!";"Thank you for contacting us!"
"Please complete this field - it is required.";"Ti preghiamo di compilare questo campo obbligatorio."
"ITEM_TYPE_CORE_LINK";"Links"
"Everything";"Everything"
"Links";"Links"
"Emails Sent";"Emails Sent"
"Online Members";"Utenti Online"
"Quick Stats";"Quick Stats"
"System Mode";"System Mode"
"Email All Members";"Email All Members"
"Packages & Plugins";"Packages & Plugins"
"Mail Templates";"Mail Templates"
"Mail Settings";"Mail Settings"
"Admin Password";"Admin Password"
"Normal";"Normal"
"CORE_FORM_ADMIN_MESSAGE_MAIL_DESCRIPTION";"Using this form, you will be able to send an email out to all of your members. Emails are sent out using a queue system, so they will be sent out over time. An email will be sent to you when all emails have been sent."
"From:";"From:"
"From (name):";"From (name):"
"Subject:";"Oggetto:"
"Hold down the CTRL key to select or de-select specific Member Levels.";"Hold down the CTRL key to select or de-select specific Member Levels."
"(HTML or Plain Text)";"(HTML or Plain Text)"
"Send Emails";"Invia Emails"
"No, visitors must sign in to view the browse members page.";"Devi effettuare il login per vedere la pagina di ricerca Iscritti."
"Notification Update Frequency";"Notification Update Frequency"
"Default Locale";"Default Località"
"Facebook App Secret";"Facebook App Secret"
"This is a 36 character string of letters and numbers provided by Facebook when you create an Application in your account.";"This is a 36 character string of letters and numbers provided by Facebook when you create an Application in your account."
"Facebook App ID";"Facebook App ID"
"Integrate Features";"Integrate Features"
"What features would you like to integrate?";"What features would you like to integrate?"
"None";"None"
"Signup/Login only";"Signup/Login only"
"Publish to Facebook";"Publish to Facebook"
"Email Queue";"Email Queue"
"Send through SMTP";"Send through SMTP"
"SMTP Server Address";"SMTP Server Address"
"SMTP Server Port";"SMTP Server Port"
"SMTP Authentication?";"SMTP Authentication?"
"Use SSL or TLS?";"Use SSL or TLS?"
"Default: 25. Also commonly on port 465 (SMTP over SSL) or port 587.";"Default: 25. Also commonly on port 465 (SMTP over SSL) or port 587."
"Does your SMTP Server require authentication?";"Does your SMTP Server require authentication?"
"Use Cache?";"Use Cache?"
"Yes, enable caching.";"Yes, enable caching."
"No, do not enable caching.";"No, do not enable caching."
"Memcache Host";"Memcache Host"
"Cache Lifetime";"Cache Lifetime"
"Caching Feature";"Caching Feature"
"File-based";"File-based"
"Memcache";"Memcache"
"Can be a domain name, hostname, or an IP address (recommended)";"Can be a domain name, hostname, or an IP address (recommended)"
"Memcache Port";"Memcache Port"
"Memcache compression?";"Memcache compression?"
"Flush cache?";"Flush cache?"
"File-based Cache Directory";"File-based Cache Directory"
"File locking?";"File locking?"
"Note: your site is currently not in production mode, so caching will be disabled regardless of these settings.";"Note: your site is currently not in production mode, so caching will be disabled regardless of these settings."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_DESCRIPTION";"For very large social networks,
it may be necessary to enable caching to improve performance. If there is a noticable
decrease in performance on your social network, consider enabling caching below
(or upgrading your hardware). Caching takes some load off the database server by
storing commonly retrieved data in temporary files (file-based caching) or memcached
(memory-based caching). If you are not familiar with caching, we do not recommend
that you change any of these settings."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_LIFETIME_DESCRIPTION";"This determines how long
the system will keep cached data before reloading it from the database server. A
shorter cache lifetime causes greater database server CPU usage, however the data
will be more current. We recommend starting off with 60-120 seconds."
